Basic_Density	Proline_Density	Net_Charge_Density	Rare_Codon_Density	Hydrophobicity	Poly_Basic	Poly_Pro	Poly_Gly	DiPeptide_Slow	Group
0.07142857142857142	0.17857142857142858	0.06428571428571428	0.02857142857142857	0.31285714285714233	0	0	0	1	UFM1_dependent
0.17857142857142858	0.0	0.03571428571428571	0.0	-0.4928571428571429	0	0	0	0	UFM1_dependent
0.09523809523809523	0.047619047619047616	0.047619047619047616	0.0	0.9968253968253966	0	0	0	0	UFM1_dependent
0.1317365269461078	0.041916167664670656	0.08383233532934131	0.0	0.07485029940119767	0	0	0	0	UFM1_dependent
0.225	0.0	0.175	0.0	0.24250000000000016	1	0	0	0	UFM1_dependent
0.08108108108108109	0.0	0.08108108108108109	0.0	0.5567567567567568	0	0	0	0	UFM1_dependent
0.09646302250803858	0.04501607717041801	0.06591639871382636	0.011254019292604502	0.3054662379421219	1	0	0	1	UFM1_dependent
0.12669683257918551	0.04072398190045249	0.08144796380090498	0.00904977375565611	0.23710407239819006	0	0	0	1	UFM1_dependent
0.09016393442622951	0.06557377049180328	0.03278688524590164	0.00819672131147541	0.27090163934426204	0	0	0	1	UFM1_dependent
0.0967741935483871	0.0967741935483871	0.04659498207885305	0.03942652329749104	0.03512544802867379	0	0	0	1	UFM1_dependent
0.14814814814814814	0.07407407407407407	0.12037037037037036	0.018518518518518517	-0.04444444444444443	1	0	0	0	UFM1_dependent
0.037037037037037035	0.2222222222222222	0.037037037037037035	0.037037037037037035	-0.03703703703703711	0	0	0	1	UFM1_dependent
0.09090909090909091	0.09090909090909091	0.07272727272727272	0.01818181818181818	0.31999999999999995	0	0	0	1	UFM1_dependent
0.05825242718446602	0.1553398058252427	0.038834951456310676	0.009708737864077669	0.1349514563106796	0	0	0	1	UFM1_dependent
0.11003861003861004	0.04633204633204633	0.04054054054054054	0.023166023166023165	0.1407335907335906	0	0	0	1	UFM1_dependent
0.09479553903345725	0.046468401486988845	0.040892193308550186	0.0055762081784386614	0.08977695167286226	0	0	1	1	UFM1_dependent
0.14864864864864866	0.06418918918918919	0.09121621621621621	0.05067567567567568	-0.215878378378379	1	1	0	1	UFM1_dependent
0.15181518151815182	0.0627062706270627	0.09570957095709572	0.052805280528052806	-0.24224422442244284	1	1	0	1	UFM1_dependent
0.11790393013100436	0.048034934497816595	0.056768558951965066	0.0	-0.3672489082969436	0	0	0	1	UFM1_dependent
0.12530120481927712	0.03975903614457831	0.06867469879518072	0.007228915662650603	-0.11253012048192795	1	0	0	1	UFM1_dependent
0.0625	0.0625	0.03125	0.03125	1.1374999999999997	0	0	0	0	UFM1_dependent
0.11290322580645161	0.016129032258064516	0.11290322580645161	0.0	0.5838709677419355	0	0	0	0	UFM1_dependent
0.102803738317757	0.028037383177570093	0.07009345794392523	0.004672897196261682	0.4672897196261681	0	0	0	1	UFM1_dependent
0.125	0.09166666666666666	0.05	0.025	-0.5041666666666669	0	1	0	1	UFM1_dependent
0.13432835820895522	0.0	-0.04477611940298507	0.014925373134328358	-0.5104477611940299	0	0	0	0	UFM1_dependent
