gene_id	gene_name	Col0_ANS_Cytosol_Rep1	Col0_ANS_Cytosol_Rep2	Col0_ANS_Cytosol_Rep3	Col0_ANS_Nuclear_Rep1	Col0_ANS_Nuclear_Rep2	Col0_ANS_Nuclear_Rep3	X.Col0_DMSO_Cytosol_Rep1	Col0_DMSO_Cytosol_Rep2	Col0_DMSO_Cytosol_Rep3	Col0_DMSO_Nuclear_Rep1	Col0_DMSO_Nuclear_Rep2	Col0_DMSO_Nuclear_Rep3	Col0_DMSO_Rep1	Col0_DMSO_Rep2	Col0_DMSO_Rep3	Col0_for_siRNA_Rep1	Col0_for_siRNA_Rep2	Col0_TUN_Rep1	Col0_TUN_Rep2	Col0_TUN_Rep3	ski2_DMSO_Rep1	ski2_DMSO_Rep2	ski2_DMSO_Rep3	ski2_TUN_Rep1	ski2_TUN_Rep2	ski2_TUN_Rep3	ufm1_ANS_Cytosol_Rep1	ufm1_ANS_Cytosol_Rep2	ufm1_ANS_Cytosol_Rep3	ufm1_ANS_Nuclear_Rep1	ufm1_ANS_Nuclear_Rep2	ufm1_ANS_Nuclear_Rep3	ufm1_DMSO_Cytosol_Rep1	ufm1_DMSO_Cytosol_Rep2	ufm1_DMSO_Cytosol_Rep3	ufm1_DMSO_Nuclear_Rep1	ufm1_DMSO_Nuclear_Rep2	ufm1_DMSO_Nuclear_Rep3	UFM1_for_siRNA_Rep1	UFM1_for_siRNA_Rep2	UFM1.His_for_siRNA_Rep1	UFM1.His_for_siRNA_Rep2	xrn4_DMSO_Rep1	xrn4_DMSO_Rep2	xrn4_DMSO_Rep3	xrn4_TUN_Rep1	xrn4_TUN_Rep2	xrn4_TUN_Rep3
AT2G29920	AT2G29920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G29925	AT2G29925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.462947	0	0	0	0
AT2G29930	AT2G29930	0	0	0	0	0	0	0	0	0.05273	0	0	0	0	0	0	0	0	0	0.093752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G29940	ABCG31	0.255647	0.041059	0.593425	1.374325	1.347498	1.913042	0.222407	0.213447	0.668907	1.114682	0.76374	1.777785	0.250929	0.545505	1.339167	1.764481	1.393605	0.212373	1.77996	0.670706	0.166306	0.015195	0.356031	0.25873	0.199519	0.389839	0.257846	0.110537	0.175587	1.427545	1.476994	1.696093	0	0.318382	0.336544	2.218361	1.477617	0.712051	1.466512	0.901591	1.118299	1.024101	0.241244	0.552387	0.649566	0	2.053729	0.562249
AT2G29950	ELF4-L1	0.901817	0.39634	2.629778	0.776127	0.837017	1.701299	1.222948	0.338101	2.293289	0.678184	2.193743	1.0326	0	4.467153	5.198458	0.622956	0.610498	4.517929	0	0.781456	5.975161	0	2.443856	2.445404	2.432693	3.938449	2.469804	2.856267	1.42991	1.291033	1.094458	0.703153	2.326996	1.255706	0	2.101488	1.678416	0.863752	1.178197	1.59903	1.04071	1.152923	2.915459	2.372768	0	0.513718	0	0.483147
AT2G29960	CYP5	83.150708	75.030955	70.526154	33.008771	40.17638	33.439999	113.687773	103.3645	104.308143	54.349048	52.305613	60.602643	103.734024	96.986347	86.764535	74.89761	73.511413	110.926267	120.396949	109.251417	103.221811	97.197239	87.114775	134.153911	123.962878	121.734268	62.341202	59.060564	60.700184	39.535369	39.059635	38.434568	93.669563	103.730412	111.460427	51.567416	56.633705	63.898617	83.152343	64.107688	73.35041	86.745262	93.023705	77.994931	82.139326	106.258754	137.066711	108.967761
AT2G29970	AT2G29970	6.595217	4.507007	4.568065	5.104312	5.18149	5.743448	3.766966	4.526187	6.665861	5.416185	5.694146	10.218233	5.670366	10.932942	6.55404	10.685478	8.836656	8.178278	3.533468	9.04197	8.530121	10.609245	8.56236	7.709049	7.196794	6.841105	5.635338	3.508021	5.180157	7.490684	10.239761	8.293112	2.999722	3.166354	2.151161	11.633852	8.174493	8.801135	8.890146	6.996879	7.872575	7.621186	7.786071	9.10702	6.590818	5.335309	8.163081	6.275186
AT2G29980	FAD3	52.412018	39.625901	47.618481	37.006408	37.463787	39.961528	81.282109	72.59869	54.952626	68.496695	65.080427	47.433067	123.379383	89.914815	62.833774	107.824099	102.828793	86.026002	48.406566	62.261296	82.257691	119.727866	76.423395	67.836587	74.849084	71.921892	25.806397	27.238211	29.768276	47.955964	48.964864	41.046982	27.916197	42.99299	49.79374	71.965064	93.622777	92.905126	121.382209	51.626341	93.672516	120.217752	96.347046	61.329241	86.066825	55.94914	68.773662	66.598613
AT2G29990	NDA2	28.168348	30.967582	25.722398	27.208351	23.666698	24.691777	5.659492	6.27225	9.43263	6.631373	5.656327	10.549997	5.516317	1.182745	2.742949	8.237999	5.675256	9.923425	4.897729	7.139961	3.404649	2.987625	3.043612	10.43893	5.173092	5.876337	21.347623	25.681489	23.842676	30.532165	30.180167	31.552122	6.687482	5.448897	3.97442	7.435992	5.989037	7.078694	8.479657	3.970236	5.416244	5.859972	3.886928	3.302182	4.070047	5.887395	6.043715	6.247087
AT2G29995	AT2G29995	44.669904	44.260611	38.257724	39.634068	27.775091	24.737348	37.762087	44.029091	52.155223	20.722457	35.331404	35.765343	5.2235	33.256519	38.160451	11.809835	8.676206	15.202661	11.782127	17.872874	32.172403	0	12.957802	10.130874	13.770485	12.038028	50.631795	48.595532	24.554467	19.550716	22.711057	17.975786	32.572048	29.970956	41.067639	18.946938	11.51409	18.536233	10.720284	6.960634	11.607012	9.409584	26.588084	16.943931	26.804094	15.213237	7.639134	16.09939
AT2G30000	AT2G30000	21.710801	14.083945	26.668193	11.886242	15.482634	18.796846	49.756949	56.069813	46.270538	21.568778	16.979414	24.115625	44.094187	11.320133	13.906363	9.745026	14.059625	21.2834	14.947843	20.345313	24.820559	11.052414	22.075342	24.566556	25.754193	20.859582	24.79852	17.77767	19.263509	9.317053	14.063407	10.690237	41.053381	49.121611	41.824146	19.729533	21.385034	16.78286	12.689509	11.758982	15.483635	14.622908	18.258339	23.75884	14.47975	18.638644	10.550434	16.147818
AT2G30010	TBL45	30.9943	26.461129	24.283773	33.226116	29.648156	25.333205	28.127342	19.687025	23.49174	20.989545	22.99397	15.604961	15.30142	24.830904	16.592854	69.254481	62.249521	16.46599	5.267401	12.634333	14.862687	11.848864	23.290307	10.301065	7.80754	11.873381	31.744494	23.343958	16.500882	38.831763	34.713234	26.861921	23.059851	20.439902	16.560859	28.996528	34.738173	29.881954	74.03442	26.838084	36.391659	45.717891	26.197498	34.156651	23.526012	10.956188	1.605137	15.778552
