gene_id	gene_name	AAVS1_CYTO_DMSO_ANS_rep1	AAVS1_CYTO_DMSO_CTRL_rep1	AAVS1_CYTO_DOX_ANS_rep1	AAVS1_CYTO_DOX_CTRL_rep1	AAVS1_NUCL_DMSO_ANS_rep1	AAVS1_NUCL_DMSO_CTRL_rep1	AAVS1_NUCL_DOX_ANS_rep1	AAVS1_NUCL_DOX_CTRL_rep1	UFM1_CYTO_DMSO_ANS_rep1	UFM1_CYTO_DMSO_CTRL_rep1	UFM1_CYTO_DOX_ANS_rep1	UFM1_CYTO_DOX_CTRL_rep1	UFM1_NUCL_DMSO_ANS_rep1	UFM1_NUCL_DMSO_CTRL_rep1	UFM1_NUCL_DOX_ANS_rep1	UFM1_NUCL_DOX_CTRL_rep1	UFM2_CYTO_DMSO_ANS_rep2	UFM2_CYTO_DMSO_CTRL_rep2	UFM2_CYTO_DOX_ANS_rep2	UFM2_CYTO_DOX_CTRL_rep2	UFM2_NUCL_DMSO_ANS_rep2	UFM2_NUCL_DMSO_CTRL_rep2	UFM2_NUCL_DOX_ANS_rep2	UFM2_NUCL_DOX_CTRL_rep2	UFM3_CYTO_DMSO_ANS_rep3	UFM3_CYTO_DMSO_CTRL_rep3	UFM3_CYTO_DOX_ANS_rep3	UFM3_CYTO_DOX_CTRL_rep3	UFM3_NUCL_DMSO_ANS_rep3	UFM3_NUCL_DMSO_CTRL_rep3	UFM3_NUCL_DOX_ANS_rep3	UFM3_NUCL_DOX_CTRL_rep3	SE_AAVS1_NUCL_DMSO_ANS_rep1	SE_AAVS1_NUCL_DMSO_CTRL_rep1	SE_AAVS1_NUCL_DMSO_CTRL_rep2	SE_AAVS1_NUCL_DMSO_CTRL_rep3	SE_AAVS1_NUCL_DOX_ANS_rep1	SE_AAVS1_NUCL_DOX_CTRL_rep1	SE_AAVS1_NUCL_DOX_CTRL_rep2	SE_AAVS1_NUCL_DOX_CTRL_rep3
ENSG00000176136.6	MC5R	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.088022	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176142.13	TMEM39A	21.924148	25.624008	21.356221	17.97983	38.390555	40.00616	59.971661	75.508921	24.899049	22.111427	30.530824	29.713187	47.482014	42.856557	74.499008	69.997756999999993	25.93497	17.996121	28.870906	28.960154	47.783267	44.774305	69.950403	77.004897	25.050548	18.904401	28.312192	22.138694	39.631765	46.429927	50.521967	61.231077	47.042359	52.292596	44.033157	55.695297	58.425347	62.39643	53.588347	52.497188
ENSG00000176148.16	TCP11L1	8.646604	6.345055	7.59145	7.222275	8.350707	8.831844	6.514757	8.892098	8.635728	8.55246	7.062431	9.13104	6.520283	13.949679	4.583466	12.381498	8.594732	9.437961	7.231825	7.327068	6.401203	8.440182	9.080301	10.967507	7.970517	7.875418	9.287429	8.582725	7.945514	7.170208	8.66897	13.502215	8.761772	8.42514	14.275875	15.297493	5.744443	7.986342	15.311173	15.765798
ENSG00000176153.13	GPX2	0	0	0	0	0.402449	0	0	0.821233	0	0	0	0	0	0.209952	0.807371	0	0	0	0	0	0	0	1.018918	0	0	0	0	0	0.450047	0	0	0	0.359397	0	0.120163	0	0	0.706536	0	0
ENSG00000176155.21	CCDC57	6.886763	4.12656	4.409132	5.058387	201.10443	189.87719	213.011196	188.572818	3.693832	6.224835	4.049086	2.953657	172.203928	160.159294	165.358684	162.858461	4.088693	3.042147	5.581813	4.117616	179.284146	167.193856	163.241622	156.116539	4.24226	3.74669	3.346706	5.043353	152.332723	187.397842	165.491888	182.075368	241.808305	251.192096	276.638152	303.305936	308.291768	255.348434	270.231427	280.404229
ENSG00000176160.11	HSF5	0	0	0	0	0	0	0	0	0	0	0	0	0.069621	0	0.074052	0.03456	0	0	0	0	0.229131	0	0	0	0	0	0.008399	0	0.077544	0.104471	0	0.072659	0	0	0.098417	0.08118	0	0	0.03807	0.019204
ENSG00000176165.13	FOXG1	0	0	0	0.011289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008582	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176170.14	SPHK1	88.87364	68.815725	90.442415	74.794723	497.451505	357.455608	471.77045	370.782986	80.4951	70.792938	79.788749	67.383297	465.624572	354.822266	436.05053	358.763569	83.749999	70.08865	78.807068	79.116462	453.643714	340.207997	435.775049	309.561501	80.357873	68.358776	84.839691	73.891201	467.883931	356.258084	454.819186	365.023053	507.671564	396.068854	484.234588	538.679079	493.757094	388.649301	471.333021	526.260855
ENSG00000176171.12	BNIP3	0.013667	0	0	0	0	0.246404	0.463509	2.149567	0	0	0	0	0.323976	0	0	1.802865	0	0	0	0	0.926661	0.341469	0	0.075396	0.121556	0.033937	0	0	0.124096	0.215351	0.041891	0.266112	0	0.209841	0	0	0.409355	1.846031	0	0
ENSG00000176177.10	ENTHD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
