Length	GC	MaxEnt5	MaxEnt3	Group
7203	0.4152436484798001	8.92	12.98	Constitutive
538	0.45724907063197023	10.08	8.29	Constitutive
812	0.5862068965517241	9.46	9.3	Constitutive
11879	0.40912534725145216	8.56	9.45	Constitutive
619	0.5815831987075929	3.97	8.35	Constitutive
6574	0.45938545786431395	4.05	2.07	Constitutive
701	0.3238231098430813	10.67	9.3	Constitutive
2604	0.4558371735791091	10.47	11.85	Constitutive
1963	0.38206826286296486	8.35	6.35	Constitutive
331	0.6253776435045317	2.31	-3.62	Constitutive
10993	0.36041117074501955	7.97	10.63	Constitutive
114	0.37719298245614036	5.29	10.41	Constitutive
1464	0.5020491803278688	10.28	5.99	Constitutive
983	0.6154628687690743	7.93	10.76	Constitutive
1145	0.422707423580786	9.6	6.89	Constitutive
11293	0.4370849198618613	7.3	12.51	Constitutive
100	0.62	7.75	10.39	Constitutive
18955	0.4113426536533896	10.65	7.23	Constitutive
84	0.5476190476190477	9.01	4.52	Constitutive
1240	0.5145161290322581	10.1	7.77	Constitutive
234	0.26495726495726496	10.86	10.35	Constitutive
223	0.36771300448430494	8.37	9.24	Constitutive
2217	0.44248985115020295	8.68	10.16	Constitutive
358	0.6089385474860335	5.37	9.98	Constitutive
4951	0.42658048879014343	4.43	10.08	Constitutive
562	0.4679715302491103	4.05	9.19	Constitutive
2418	0.44086021505376344	7.0	11.76	Constitutive
2380	0.5352941176470588	8.68	6.93	Constitutive
1491	0.45875251509054327	9.6	9.16	Constitutive
1582	0.4361567635903919	10.03	4.63	Constitutive
123	0.21951219512195122	10.44	5.37	Constitutive
533	0.6135084427767354	8.27	9.35	Constitutive
36126	0.3544538559486243	9.14	10.24	Constitutive
1681	0.5080309339678762	7.13	8.51	Constitutive
914	0.4201312910284464	7.64	11.73	Constitutive
1147	0.27898866608544026	9.07	7.55	Constitutive
247	0.340080971659919	8.49	12.04	Constitutive
134	0.6119402985074627	8.41	11.77	Constitutive
93769	0.36295577429640924	10.77	9.89	Constitutive
1998	0.49099099099099097	6.74	8.4	Constitutive
11874	0.3854640390769749	9.25	5.2	Constitutive
106	0.5660377358490566	8.16	0.87	Constitutive
952	0.46218487394957986	7.23	10.29	Constitutive
974	0.36858316221765913	9.04	5.96	Constitutive
2921	0.3731598767545361	10.65	6.91	Constitutive
7620	0.32467191601049866	10.13	10.18	Constitutive
2421	0.3312680710450227	6.91	7.52	Constitutive
1650	0.44606060606060605	5.91	1.4	Constitutive
8447	0.3654551911921392	9.31	7.44	Constitutive
345	0.3130434782608696	8.54	7.53	Constitutive
142	0.5985915492957746	9.63	9.46	Constitutive
235	0.7106382978723405	8.07	10.49	Constitutive
1276	0.44043887147335425	7.88	-0.96	Constitutive
591	0.5634517766497462	6.32	8.02	Constitutive
9499	0.43057163911990737	8.3	7.74	Constitutive
708	0.4081920903954802	10.91	6.71	Constitutive
104	0.5961538461538461	9.46	7.93	Constitutive
1597	0.35629304946775203	-1.2	8.9	Constitutive
1857	0.39041464728056	8.62	11.71	Constitutive
876	0.519406392694064	10.28	9.41	Constitutive
3150	0.4777777777777778	10.08	9.48	Constitutive
1913	0.31312075274438056	11.78	7.44	Constitutive
1403	0.42908054169636495	9.11	7.04	Constitutive
547	0.5612431444241316	9.16	7.16	Constitutive
23188	0.428109366913921	8.3	5.04	Constitutive
119	0.44537815126050423	8.4	6.78	Constitutive
343	0.5422740524781341	7.2	3.21	Constitutive
14521	0.39219062048068315	8.62	9.96	Constitutive
2172	0.43370165745856354	4.41	11.11	Constitutive
7598	0.423006054224796	10.77	10.16	Constitutive
250	0.636	10.9	11.39	Constitutive
26390	0.35047366426676774	8.68	4.28	Constitutive
18215	0.39544331594839416	9.66	7.93	Constitutive
238	0.48739495798319327	9.79	10.44	Constitutive
4087	0.5013457303645706	3.85	6.01	Constitutive
3599	0.4106696304529036	9.65	8.18	Constitutive
5296	0.34441087613293053	6.25	10.9	Constitutive
216	0.3472222222222222	4.06	7.22	Constitutive
306	0.5816993464052288	9.04	12.8	Constitutive
1960	0.45102040816326533	8.94	9.68	Constitutive
9843	0.427613532459616	10.22	9.14	Constitutive
63093	0.3916599305786696	9.25	11.32	Constitutive
958	0.3705636743215031	7.57	8.25	Constitutive
2096	0.3797709923664122	9.6	-1.79	Constitutive
321	0.35202492211838005	9.27	8.12	Constitutive
