Length	GC	MaxEnt5	MaxEnt3	Group
102	0.38235294117647056	10.43	9.19	Constitutive
387	0.6124031007751938	6.03	10.85	Constitutive
8786	0.3371272478943774	8.07	1.99	Constitutive
3693	0.4091524505821825	8.16	12.61	Constitutive
4058	0.38294726466239526	8.38	10.11	Constitutive
1131	0.4261715296198055	7.94	4.83	Constitutive
6868	0.3790040768782761	9.45	9.12	Constitutive
169	0.7159763313609467	5.77	11.01	Constitutive
118	0.7288135593220338	9.6	9.44	Constitutive
81749	0.3656313838701391	10.13	10.46	Constitutive
121142	0.36805567020521374	7.44	11.13	Constitutive
8476	0.4216611609249646	3.94	4.76	Constitutive
20548	0.48700603465057424	5.11	11.15	Constitutive
1307	0.3925019127773527	10.67	7.41	Constitutive
594	0.4781144781144781	8.7	8.35	Constitutive
131400	0.33960426179604264	8.68	9.24	Constitutive
349	0.2979942693409742	10.86	6.63	Constitutive
181	0.5138121546961326	5.42	10.53	Constitutive
2919	0.6286399451867077	6.91	10.46	Constitutive
170	0.6764705882352942	6.39	8.55	Constitutive
466	0.41630901287553645	9.08	9.45	Constitutive
1217	0.6195562859490551	9.04	6.37	Constitutive
2319	0.5023717119448038	10.47	9.78	Constitutive
120	0.6666666666666666	6.91	8.85	Constitutive
1037	0.5756991321118612	4.8	6.71	Constitutive
1796	0.4983296213808463	8.69	9.97	Constitutive
2143	0.460569295380308	10.67	11.23	Constitutive
26032	0.36820067609096496	8.02	7.77	Constitutive
644	0.30745341614906835	5.88	8.56	Constitutive
10560	0.4828598484848485	-8.16	-10.76	Constitutive
27193	0.4279042400617806	10.51	9.18	Constitutive
5987	0.3998663771504927	7.2	10.36	Constitutive
694	0.5489913544668588	10.03	8.97	Constitutive
759	0.6245059288537549	8.69	10.93	Constitutive
520	0.3192307692307692	6.3	8.51	Constitutive
450	0.4088888888888889	4.15	6.83	Constitutive
98	0.3877551020408163	9.6	11.88	Constitutive
3632	0.4479625550660793	8.68	7.65	Constitutive
677	0.6189069423929099	7.93	8.87	Constitutive
128	0.6171875	9.16	6.86	Constitutive
3866	0.4653388515261252	9.89	11.31	Constitutive
1401	0.49750178443968596	10.47	7.29	Constitutive
2205	0.41768707482993195	9.43	6.66	Constitutive
154	0.2727272727272727	5.64	11.13	Constitutive
87726	0.37190798622985205	6.69	11.07	Constitutive
298	0.6140939597315436	10.07	10.01	Constitutive
2532	0.3641390205371248	5.49	5.21	Constitutive
2605	0.5166986564299424	4.3	6.36	Constitutive
2921	0.36494351249572066	6.49	5.9	Constitutive
109	0.1834862385321101	8.83	9.0	Constitutive
24465	0.37465767422848967	10.07	8.91	Constitutive
3518	0.44855031267765777	11.11	10.3	Constitutive
846	0.3191489361702128	5.17	6.03	Constitutive
10193	0.3650544491317571	8.62	11.41	Constitutive
937	0.40981856990394877	5.89	8.78	Constitutive
17953	0.39514287305742773	9.25	10.11	Constitutive
21749	0.38176467883580856	5.84	8.66	Constitutive
527	0.5806451612903226	9.46	9.7	Constitutive
3257	0.48910039914031317	7.23	10.97	Constitutive
4728	0.4046108291032149	7.36	7.75	Constitutive
42201	0.3836401980995711	7.2	12.33	Constitutive
9189	0.4310588747415388	11.08	12.91	Constitutive
1841	0.40412819120043453	9.07	7.98	Constitutive
334	0.5209580838323353	4.22	7.24	Constitutive
4286	0.3929071395240317	9.67	7.44	Constitutive
19151	0.40050127930656365	10.86	11.64	Constitutive
