goID	Pvalue	FoldEnrch	test_count	bkgd_count	expected
GO:0006882	0.00067	15.733636363636363	3	11	0.1906742936384122
GO:0051082	0.68267	0.8875384615384614	1	65	1.1267117351360723
GO:0005496	0.11477	8.241428571428571	1	7	0.12133818686080777
GO:0038023	0.06603	4.807499999999999	2	24	0.41601664066562666
GO:0009725	0.20238	4.437692307692307	1	13	0.22534234702721442
GO:0005783	0.06344	1.582215189873418	13	474	8.216328653146125
GO:0005886	0.04756	1.5591891891891891	16	592	10.261743803085457
GO:0004316	0.24595	3.6056249999999994	1	16	0.2773444271104178
GO:0048038	0.02699	7.692	2	15	0.26001040041601664
GO:0006633	0.20308	2.4037499999999996	2	48	0.8320332813312533
GO:0008202	0.37454	2.1366666666666663	1	27	0.46801872074883
GO:0047936	0.09957	9.614999999999998	1	6	0.10400416016640666
GO:0016614	0.04185	6.072631578947369	2	19	0.3293465071936211
GO:0044550	0.06928	4.615200000000001	2	25	0.4333506673600277
GO:0016616	0.07227	3.090535714285714	3	56	0.9707054948864622
GO:0006631	0.07785	2.983965517241379	3	58	1.0053735482752644
GO:0051287	0.03354	4.2212195121951215	3	41	0.7106950944704455
GO:0006629	0.01403	2.508260869565217	8	184	3.1894609117698045
GO:0005515	0.0	2.0536893203883495	44	1236	21.42485699427977
GO:0005737	0.05251	1.2869024856596558	35	1569	27.19708788351534
GO:0006805	0.18967	4.807499999999999	1	12	0.20800832033281333
GO:0016655	0.147	6.41	1	9	0.15600624024961
GO:0005902	0.21561	4.1207142857142856	1	14	0.24267637372161555
GO:0005829	0.01012	1.4804170008019246	32	1247	21.615531287918184
GO:0005524	0.64719	0.9238612099644129	9	562	9.741723002253423
GO:0016310	0.82095	0.7122222222222222	4	324	5.61622464898596
GO:0004672	0.24608	1.4868556701030926	5	194	3.3628011787138155
GO:0016301	0.74529	0.7984775086505189	4	289	5.009533714681921
GO:0004674	0.20784	1.5848901098901098	5	182	3.154792858381002
GO:0000166	0.8615	0.7396153846153847	8	624	10.816432657306292
GO:0000278	0.56271	1.2274468085106383	1	47	0.8146992546368522
GO:0045893	0.17576	2.0851807228915664	3	83	1.438724215635292
GO:0097014	0.18921	4.807499999999999	1	12	0.20800832033281333
GO:0035253	0.06777	14.422499999999998	1	4	0.06933610677760445
GO:0035869	0.23119	3.846	1	15	0.26001040041601664
GO:0036064	0.7452	0.7492207792207792	1	77	1.3347200554688854
GO:0030145	0.50187	1.44225	1	40	0.6933610677760443
GO:0106310	0.52065	1.1538000000000002	2	100	1.7334026694401108
GO:0000165	0.00242	6.992727272727273	4	33	0.5720228809152366
GO:0006974	0.2849	1.6024999999999998	3	108	1.87207488299532
GO:0005813	0.94711	0.3475301204819277	1	166	2.877448431270584
GO:0005654	0.0891	1.4711475409836066	14	549	9.51638065522621
GO:0000922	0.52403	1.3735714285714287	1	42	0.7280291211648465
GO:0005634	0.57159	0.9872789503707929	30	1753	30.386548795285144
GO:0004713	0.1945	2.4548936170212765	2	47	0.8146992546368522
GO:0010506	0.12765	3.205	2	36	0.62402496099844
GO:0005509	0.0957	1.6378864353312304	9	317	5.494886462125152
GO:0004709	0.00631	7.866818181818181	3	22	0.3813485872768244
GO:0034451	0.08802	3.9786206896551723	2	29	0.5026867741376322
GO:0060271	0.84239	0.5547115384615384	1	104	1.8027387762177154
GO:0007017	0.04265	6.072631578947369	2	19	0.3293465071936211
GO:0004683	0.36698	2.2188461538461537	1	26	0.45068469405442885
GO:0000407	0.06861	4.615200000000001	2	25	0.4333506673600277
GO:0005776	0.36399	2.2188461538461537	1	26	0.45068469405442885
GO:0016620	0.22795	3.846	1	15	0.26001040041601664
GO:0005739	0.55976	0.9894063324538259	13	758	13.13919223435604
GO:0006081	0.08244	11.538	1	5	0.08667013347200554
GO:0043878	0.08163	11.538	1	5	0.08667013347200554
GO:0004029	0.08163	11.538	1	5	0.08667013347200554
GO:0051289	0.21893	4.1207142857142856	1	14	0.24267637372161555
GO:0019285	0.05046	19.229999999999997	1	3	0.05200208008320333
GO:0005759	0.22126	1.8411702127659573	3	94	1.6293985092737044
GO:0004030	0.01673	57.68999999999999	1	1	0.017334026694401112
GO:0042904	0.01673	57.68999999999999	1	1	0.017334026694401112
GO:0070887	0.09974	9.614999999999998	1	6	0.10400416016640666
GO:0042803	0.00164	3.2249068322981365	9	161	2.7907782977985787
GO:0005777	0.52393	1.1423762376237623	2	101	1.750736696134512
GO:0005789	0.00109	2.40375	15	360	6.240249609984399
GO:0003924	0.3202	1.5049565217391303	3	115	1.9934130698561277
