domain	pval	odds_ratio	log2_odds	count_in_set	count_in_bg	set	fdr
SKP1/BTB/POZ_sf	1	0.685996424973775	-0.543727036982052	1	190	Lost_psE	1
SLC12_C	0.05945455176635146	18.68821915512623	4.22405719267683	1	8	Lost_psE	0.10053224207764884
SLC12A_fam	0.06663500451719968	16.34442378257498	4.030726611137534	1	9	Lost_psE	0.10872027052806264
Small_GTPase_ARF/SAR	0.22353333912803466	4.083247035983132	2.02971685309002	1	33	Lost_psE	0.26032236810796167
SMP_LBD	0.037582267935221535	32.6799025060318	5.0303317743845986	1	5	Lost_psE	0.07645642633071631
SND2/TMEM208	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
SOS1_NGEF_PH	0.1993348215340916	4.66736819662383	2.2226092822775017	1	29	Lost_psE	0.2359399433067157
Spectrin_repeat	0.17438724044812579	5.446922053378614	2.445441222050995	1	25	Lost_psE	0.21219830566678483
Spectrin_SYNE1	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
Spectrin/alpha-actinin	0.21152630079305274	4.355933612323624	2.1229819664741636	1	31	Lost_psE	0.24766838456164988
Splicing_assoc_domain	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
SPRY_dom	0.5141111746563054	1.4008340085237818	0.4862860141075752	1	94	Lost_psE	0.5398167333891207
SPRY_hnRNP_U	0.022720768602030286	65.2569532164068	6.028059725863084	1	3	Lost_psE	0.05710895891861666
STAT	0.0011848734827007955	52.516615796810704	5.714702045953144	2	7	Lost_psE	0.03574085217835012
STAT_linker	0.0011848734827007955	52.516615796810704	5.714702045953144	2	7	Lost_psE	0.03574085217835012
STAT_N_sf	0.0011848734827007955	52.516615796810704	5.714702045953144	2	7	Lost_psE	0.03574085217835012
STAT_TF_alpha	0.0011848734827007955	52.516615796810704	5.714702045953144	2	7	Lost_psE	0.03574085217835012
STAT_TF_coiled-coil	0.0011848734827007955	52.516615796810704	5.714702045953144	2	7	Lost_psE	0.03574085217835012
STAT_TF_DNA-bd	0.0011848734827007955	52.516615796810704	5.714702045953144	2	7	Lost_psE	0.03574085217835012
STAT_TF_DNA-bd_N	0.0011848734827007955	52.516615796810704	5.714702045953144	2	7	Lost_psE	0.03574085217835012
STAT_TF_prot_interaction	0.0011848734827007955	52.516615796810704	5.714702045953144	2	7	Lost_psE	0.03574085217835012
STAT1_C_sf	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
STAT1_SH2	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
STAT1_TAZ2-bd_C	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
STAT2_C	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
STAT2_SH2	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
STE20_Ser-Thr_kinase	0.030179798952418856	43.53938491870723	5.444249121591278	1	4	Lost_psE	0.06549016372674892
Symplekin_C	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
Symplekin/Pta1	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
Symplekin/Pta1_N	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
Synaptotagmin_SMP	0.022720768602030286	65.2569532164068	6.028059725863084	1	3	Lost_psE	0.05710895891861666
SYNE1/2_dom	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
TBK1_CCD1	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
TBK1_ULD	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
TdT/Mu	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
Tensin_C2-dom	0.05945455176635146	18.68821915512623	4.22405719267683	1	8	Lost_psE	0.10053224207764884
Tensin_phosphatase	0.05945455176635146	18.68821915512623	4.22405719267683	1	8	Lost_psE	0.10053224207764884
Tensin_PTB	0.030179798952418856	43.53938491870723	5.444249121591278	1	4	Lost_psE	0.06549016372674892
Tensin_PTEN_phosphatase	0.030179798952418856	43.53938491870723	5.444249121591278	1	4	Lost_psE	0.06549016372674892
Tensin-like_SH2	0.022720768602030286	65.2569532164068	6.028059725863084	1	3	Lost_psE	0.05710895891861666
TFR-like_dimer_dom	0.030179798952418856	43.53938491870723	5.444249121591278	1	4	Lost_psE	0.06549016372674892
TFR-like_dimer_dom_sf	0.04492860165134166	26.128495720148138	4.707552162539805	1	6	Lost_psE	0.08627881910036407
TfR1/2_PA	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
Thioredoxin-like_sf	0.25563725127065845	2.0781003862647176	1.0552653478264222	2	128	Lost_psE	0.2914533285064775
TIP49_P-loop	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
TNF_rcpt-assoc_TRAF_met	8.505993546210903e-4	65.70320311549533	6.037891800384677	2	6	Lost_psE	0.03574085217835012
TPR_rpt	0.08751756970837352	2.949213657078625	1.560330342861552	3	137	Lost_psE	0.12997988235506042
TPR-like_helical_dom_sf	0.09506007806445094	2.378848562509152	1.2502634327251907	4	226	Lost_psE	0.13752024626657236
TRADD-like_N	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
TRAF-like	0.005691678386428104	20.24221049740423	4.3392949392431746	2	15	Lost_psE	0.03574085217835012
TRAF1-6_MATH_dom	8.505993546210903e-4	65.70320311549533	6.037891800384677	2	6	Lost_psE	0.03574085217835012
TRAF3/5_RING	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
TRAF4_MATH	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
TRAF5_C3HC3D_RING-HC_finger	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
Transmembrane_161A/B	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
TRASH_dom	0.05945455176635146	18.68821915512623	4.22405719267683	1	8	Lost_psE	0.10053224207764884
Tripeptidyl-peptidase_I	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
Trypsin_dom	0.5992075573167156	1.102692070908891	0.14102997153176153	1	119	Lost_psE	0.6201655322944069
TTC3/DZIP3-like_helical	0.022720768602030286	65.2569532164068	6.028059725863084	1	3	Lost_psE	0.05710895891861666
TTC3/DZIP3/RBM44-like_helical	0.030179798952418856	43.53938491870723	5.444249121591278	1	4	Lost_psE	0.06549016372674892
Tubulin/FtsZ_GTPase_sf	0.18069560801761425	5.228891707942622	2.386505191808019	1	26	Lost_psE	0.2182427473459497
Tyr_kinase_AS	0.5215336595750151	1.3712331726760492	0.45547391645652835	1	96	Lost_psE	0.545849537593786
Tyr_kinase_cat_dom	0.4752476101123267	1.5703955013532012	0.6511279450940501	1	84	Lost_psE	0.5006249096814315
U2AF_small	0.022720768602030286	65.2569532164068	6.028059725863084	1	3	Lost_psE	0.05710895891861666
Ubiquitin-like_domsf	0.17562788584686856	2.1192502832513154	1.0835539799152514	3	189	Lost_psE	0.21330924195207357
UHMK1	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
UHMK1_RRM	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
UIM_dom	0.011047767596091971	13.85365526942909	3.79219477465079	2	21	Lost_psE	0.04625369471172697
USH2_Complex_Protein	0.022720768602030286	65.2569532164068	6.028059725863084	1	3	Lost_psE	0.05710895891861666
Villin/Gelsolin	0.05945455176635146	18.68821915512623	4.22405719267683	1	8	Lost_psE	0.10053224207764884
Volt_channel_dom_sf	0.3927025780556425	2.0385491780239025	1.0275427608663972	1	65	Lost_psE	0.419785514473273
VPS11	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
VPS11_C	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
Vps51	0.007631303306898106	Inf	Inf	1	1	Lost_psE	0.03574085217835012
VWF_A	0.44194585134646497	1.7386171144088107	0.7979402512392759	1	76	Lost_psE	0.4670564110820596
vWFA_dom_sf	0.1693202777195456	2.7604038662313863	1.4648793587367168	2	97	Lost_psE	0.20876420605193974
WD40_repeat_CS	0.3008278485152278	1.8425324026360304	0.8816899906697423	2	144	Lost_psE	0.33591583084633503
WD40_repeat_dom_sf	0.5111005782192406	1.2846352690835776	0.3613588106444724	3	308	Lost_psE	0.537522579031867
WD40_rpt	0.9999999999999998	0.9663966502412802	-0.049312640936983114	2	271	Lost_psE	1
WD40/YVTN_repeat-like_dom_sf	0.34662748125354936	1.5123348511638302	0.5967776069058515	4	351	Lost_psE	0.3767186816294836
WW_dom	0.32891478451032874	2.5597835537906612	1.356021826211796	1	52	Lost_psE	0.3598714701113009
WW_dom_sf	0.3079802172166759	2.778126374930996	1.4741122279511865	1	48	Lost_psE	0.34214184540623893
Yif1_fam	0.015204747570368006	130.35475594955648	7.026299409853186	1	2	Lost_psE	0.04625369471172697
