Length	GC	MaxEnt5	MaxEnt3	Group
81	0.6049382716049383	8.94	8.67	Constitutive
3827	0.3595505617977528	9.66	6.35	Constitutive
416	0.6129807692307693	10.28	8.41	Constitutive
606	0.42574257425742573	8.63	10.03	Constitutive
279	0.4014336917562724	8.3	5.14	Constitutive
2155	0.37122969837587005	10.45	8.91	Constitutive
6742	0.40002966478789675	9.89	11.16	Constitutive
268	0.6791044776119403	7.93	6.77	Constitutive
1607	0.5158680771624145	8.35	5.06	Constitutive
16000	0.6075	8.41	10.18	Constitutive
2216	0.5284296028880866	9.1	12.15	Constitutive
569	0.28646748681898065	4.51	8.28	Constitutive
109664	0.4596677122847972	10.77	11.72	Constitutive
985	0.483248730964467	7.39	8.59	Constitutive
15037	0.34654518853494715	10.13	11.68	Constitutive
12886	0.42511252522117027	10.06	7.29	Constitutive
1976	0.37449392712550605	6.25	8.08	Constitutive
88	0.5454545454545454	10.17	11.84	Constitutive
1192	0.38171140939597314	9.1	9.41	Constitutive
187	0.45989304812834225	5.59	6.94	Constitutive
89	0.6966292134831461	9.04	7.68	Constitutive
39351	0.40174328479581206	9.08	6.3	Constitutive
8862	0.5463777928232905	9.25	11.37	Constitutive
94	0.6914893617021277	7.29	9.62	Constitutive
1440	0.3861111111111111	5.88	7.75	Constitutive
2212	0.6546112115732369	5.27	8.68	Constitutive
859	0.5564610011641443	8.34	9.71	Constitutive
21570	0.3981455725544738	8.23	9.36	Constitutive
6062	0.3881557241834378	10.08	8.25	Constitutive
85226	0.3272475535634665	8.59	9.86	Constitutive
569	0.39191564147627417	8.88	3.98	Constitutive
118	0.3813559322033898	4.55	7.2	Constitutive
11228	0.3856430352689704	7.83	5.98	Constitutive
1723	0.3441671503192107	11.0	10.8	Constitutive
13370	0.5489154824233359	9.37	6.33	Constitutive
15737	0.5226536188600115	9.57	12.44	Constitutive
3422	0.5023378141437755	6.93	12.77	Constitutive
98	0.5204081632653061	8.73	10.19	Constitutive
4732	0.36496196111580725	6.8	8.44	Constitutive
60941	0.4848624079027256	9.6	9.81	Constitutive
5926	0.4017887276409045	7.76	13.44	Constitutive
667	0.3373313343328336	10.88	8.31	Constitutive
4686	0.41378574477166025	9.11	-2.13	Constitutive
1502	0.2643142476697736	9.99	0.83	Constitutive
411	0.583941605839416	6.25	7.55	Constitutive
786	0.5368956743002544	9.46	10.91	Constitutive
7774	0.3844867507074865	9.22	8.12	Constitutive
1486	0.5679676985195155	10.51	10.82	Constitutive
519	0.2678227360308285	9.37	4.48	Constitutive
1322	0.5514372163388804	9.16	11.29	Constitutive
781	0.322663252240717	8.94	8.9	Constitutive
1200	0.4175	8.35	8.17	Constitutive
66818	0.3982459816217187	6.96	8.74	Constitutive
713	0.3884992987377279	-0.3	0.03	Constitutive
879	0.41751990898748575	6.36	3.66	Constitutive
610	0.660655737704918	7.23	7.99	Constitutive
1508	0.3812997347480106	8.89	8.32	Constitutive
59172	0.39772189549111064	8.05	10.72	Constitutive
100	0.33	9.06	7.13	Constitutive
465	0.6344086021505376	5.4	7.35	Constitutive
1946	0.4311408016443988	6.93	11.66	Constitutive
790	0.5556962025316455	9.48	7.02	Constitutive
50566	0.43452121979195507	10.29	4.6	Constitutive
8487	0.47578649699540476	8.99	9.89	Constitutive
6635	0.47294649585531273	10.65	10.18	Constitutive
17970	0.4461324429604897	9.72	7.15	Constitutive
85	0.6470588235294118	9.89	9.86	Constitutive
1393	0.5915290739411343	9.73	10.99	Constitutive
7706	0.39229172073708796	11.01	9.89	Constitutive
5141	0.3460416261427738	10.77	8.91	Constitutive
943	0.33085896076352067	5.88	9.74	Constitutive
3300	0.35454545454545455	9.43	9.72	Constitutive
761	0.4783180026281209	8.24	2.92	Constitutive
611	0.5400981996726678	7.77	8.34	Constitutive
1800	0.39666666666666667	8.88	9.16	Constitutive
20641	0.34232837556319945	10.28	8.95	Constitutive
6257	0.5708806137126419	8.21	8.39	Constitutive
45641	0.3744221204618654	10.67	9.34	Constitutive
24933	0.4354068904664501	10.1	12.84	Constitutive
8749	0.38072922619727967	6.37	9.18	Constitutive
15972	0.4321938392186326	9.35	7.76	Constitutive
21515	0.39112247269346967	10.24	9.99	Constitutive
577	0.41767764298093585	7.23	9.94	Constitutive
1544	0.44365284974093266	8.14	3.64	Constitutive
4613	0.4133969217429005	9.79	8.07	Constitutive
4104	0.49122807017543857	10.22	11.96	Constitutive
1684	0.3806413301662708	7.79	7.26	Constitutive
948	0.439873417721519	6.41	9.75	Constitutive
225	0.6622222222222223	7.75	10.42	Constitutive
63732	0.40585577104123516	9.11	9.59	Constitutive
5423	0.5681357182371382	9.04	13.32	Constitutive
253	0.48616600790513836	10.17	8.31	Constitutive
2996	0.4248998664886515	7.24	6.65	Constitutive
206	0.45145631067961167	7.66	1.12	Constitutive
2434	0.3578471651602301	6.45	7.85	Constitutive
2102	0.4419600380589914	9.82	9.85	Constitutive
1541	0.3672939649578196	10.57	3.22	Constitutive
1038	0.34971098265895956	7.44	6.71	Constitutive
6689	0.34130662281357455	7.79	7.99	Constitutive
1587	0.4530560806553245	9.04	6.06	Constitutive
12349	0.5515426350311766	10.03	7.15	Constitutive
10730	0.3917986952469711	10.86	9.79	Constitutive
5207	0.35605915114269254	9.22	6.46	Constitutive
435	0.6	7.41	5.0	Constitutive
863	0.507531865585168	8.3	8.79	Constitutive
2403	0.3641281731169372	9.72	9.18	Constitutive
116	0.4396551724137931	8.1	6.28	Constitutive
2819	0.4746363958850656	7.64	10.64	Constitutive
963	0.616822429906542	6.3	11.24	Constitutive
4486	0.41818992420864914	8.33	11.69	Constitutive
15028	0.3728373702422145	8.55	10.41	Constitutive
2026	0.3889437314906219	7.66	8.95	Constitutive
7388	0.5115051434759069	10.47	10.16	Constitutive
1636	0.4297066014669927	8.76	12.1	Constitutive
15622	0.416079887338369	9.25	11.37	Constitutive
