class,intron_length,GC_intron,PPT_density,T_block_length,SRSF3_count,SRSF3_density,PCBP2_count,PCBP2_density,CpG_count,CpG_density
1,509,0.6149312377210217,0.4666666666666667,3,4,7.858546168958743,20,39.29273084479371,11,21.611001964636543
1,1261,0.4425059476605868,0.26666666666666666,8,11,8.72323552735924,3,2.379064234734338,14,11.102299762093578
1,3146,0.3893833439287985,0.26666666666666666,14,18,5.7215511760966304,28,8.900190718372537,27,8.582326764144947
1,3406,0.3473282442748092,0.26666666666666666,8,29,8.514386376981797,27,7.9271873165002935,19,5.578391074574281
1,2669,0.3990258523791682,0.4666666666666667,17,23,8.6174597227426,25,9.366804046459348,31,11.614837017609592
1,1331,0.535687453042825,0.3333333333333333,4,16,12.021036814425244,28,21.036814425244177,29,21.788129226145756
1,1247,0.5501202886928629,0.26666666666666666,4,7,5.613472333600641,19,15.236567762630312,47,37.690457097032876
1,387,0.5348837209302325,0.3333333333333333,4,2,5.167958656330749,13,33.59173126614987,6,15.503875968992247
1,286,0.5734265734265734,0.8666666666666667,7,1,3.4965034965034967,6,20.97902097902098,15,52.447552447552454
1,810,0.6493827160493827,0.26666666666666666,3,2,2.4691358024691357,28,34.5679012345679,34,41.9753086419753
1,2056,0.5642023346303502,0.8,6,16,7.782101167315175,44,21.40077821011673,49,23.832684824902724
1,544,0.6286764705882353,0.26666666666666666,4,4,7.352941176470588,16,29.41176470588235,12,22.058823529411764
1,542,0.6273062730627307,0.4,4,2,3.6900369003690034,13,23.98523985239852,30,55.35055350553505
1,735,0.5891156462585034,0.26666666666666666,10,10,13.60544217687075,28,38.095238095238095,17,23.12925170068027
1,1165,0.51931330472103,0.26666666666666666,9,9,7.725321888412017,28,24.034334763948497,16,13.733905579399142
1,264,0.5303030303030303,0.3333333333333333,3,1,3.7878787878787876,4,15.15151515151515,11,41.666666666666664
1,422,0.6421800947867299,0.6666666666666666,4,1,2.3696682464454977,10,23.696682464454977,19,45.023696682464454
1,268,0.5223880597014925,0.6666666666666666,4,3,11.194029850746269,3,11.194029850746269,2,7.462686567164178
1,1025,0.5229268292682927,0.4666666666666667,7,10,9.756097560975611,24,23.414634146341466,12,11.707317073170733
1,1122,0.5811051693404634,0.5333333333333333,3,8,7.1301247771836,36,32.085561497326204,23,20.49910873440285
1,656,0.6189024390243902,0.4666666666666667,3,4,6.097560975609756,13,19.817073170731707,19,28.96341463414634
1,455,0.5692307692307692,0.5333333333333333,4,5,10.989010989010989,10,21.978021978021978,7,15.384615384615383
1,279,0.5734767025089605,0.5333333333333333,2,4,14.336917562724013,8,28.673835125448026,12,43.01075268817204
1,252,0.6349206349206349,0.13333333333333333,3,4,15.873015873015873,7,27.77777777777778,11,43.65079365079365
1,536,0.5410447761194029,0.6,3,4,7.462686567164178,11,20.52238805970149,12,22.388059701492537
1,467,0.5331905781584583,0.13333333333333333,4,3,6.423982869379015,8,17.130620985010705,9,19.271948608137045
1,947,0.43083421330517424,0.3333333333333333,11,7,7.391763463569166,9,9.503695881731785,11,11.615628299894404
1,323,0.6904024767801857,0.5333333333333333,3,1,3.095975232198142,10,30.959752321981423,20,61.919504643962846
1,481,0.3887733887733888,0.4,4,4,8.316008316008316,0,0,2,4.158004158004158
1,538,0.6728624535315985,0.3333333333333333,3,5,9.293680297397769,19,35.31598513011152,39,72.4907063197026
1,538,0.6728624535315985,0.3333333333333333,3,5,9.293680297397769,19,35.31598513011152,39,72.4907063197026
1,476,0.6659663865546218,0.4,2,3,6.302521008403362,9,18.907563025210084,27,56.72268907563026
1,479,0.40083507306889354,0.26666666666666666,5,1,2.0876826722338206,8,16.701461377870565,5,10.438413361169102
1,1208,0.5264900662251656,0.4666666666666667,4,9,7.450331125827815,25,20.695364238410598,18,14.90066225165563
1,903,0.6655592469545958,0.6,4,2,2.2148394241417497,32,35.437430786267996,37,40.97452934662237
1,454,0.6409691629955947,0.3333333333333333,4,2,4.405286343612334,9,19.823788546255507,16,35.242290748898675
1,722,0.646814404432133,0.4,3,10,13.850415512465375,26,36.011080332409975,28,38.78116343490305
1,987,0.6859169199594731,0.6,3,4,4.052684903748734,43,43.56636271529889,48,48.632218844984806
1,1698,0.6537102473498233,0.5333333333333333,4,6,3.53356890459364,59,34.74676089517079,79,46.525323910482925
1,266,0.5488721804511278,0.26666666666666666,14,1,3.7593984962406015,5,18.796992481203006,7,26.31578947368421
1,457,0.6783369803063457,0.26666666666666666,3,1,2.1881838074398248,10,21.88183807439825,18,39.387308533916844
1,752,0.636968085106383,0.5333333333333333,5,4,5.319148936170213,22,29.25531914893617,22,29.25531914893617
1,708,0.6779661016949152,0.5333333333333333,3,2,2.824858757062147,21,29.661016949152543,48,67.79661016949153
1,1184,0.5920608108108109,0.3333333333333333,5,7,5.912162162162162,36,30.405405405405407,24,20.27027027027027
1,1733,0.49740334679746107,0.5333333333333333,6,14,8.078476630121177,21,12.117714945181765,62,35.77611079053664
1,233,0.6566523605150214,0.4666666666666667,2,3,12.875536480686694,7,30.04291845493562,14,60.08583690987124
1,821,0.6577344701583435,0.4,4,3,3.654080389768575,25,30.450669914738125,36,43.8489646772229
1,2085,0.48105515587529973,0.3333333333333333,8,12,5.755395683453237,33,15.827338129496404,40,19.18465227817746
1,565,0.6194690265486725,0.5333333333333333,3,9,15.92920353982301,20,35.39823008849558,21,37.16814159292036
1,316,0.6044303797468354,0.4,3,5,15.822784810126581,5,15.822784810126581,11,34.81012658227848
1,1612,0.5490074441687345,0.5333333333333333,4,6,3.722084367245657,34,21.09181141439206,20,12.406947890818858
1,1077,0.6146703806870938,0.4,3,10,9.285051067780874,49,45.49675023212628,20,18.570102135561747
1,702,0.6082621082621082,0.4666666666666667,3,5,7.122507122507123,16,22.792022792022795,19,27.065527065527068
1,427,0.5901639344262295,0.5333333333333333,4,3,7.02576112412178,8,18.73536299765808,10,23.4192037470726
1,3108,0.36904761904761907,0.4666666666666667,20,22,7.078507078507078,15,4.826254826254826,26,8.365508365508365
1,538,0.36431226765799257,0.4666666666666667,5,4,7.434944237918216,5,9.293680297397769,2,3.717472118959108
1,538,0.36431226765799257,0.4666666666666667,5,4,7.434944237918216,5,9.293680297397769,2,3.717472118959108
1,2160,0.6231481481481481,0.6,5,12,5.555555555555555,62,28.703703703703702,54,25
1,573,0.6020942408376964,0.6666666666666666,3,5,8.726003490401396,18,31.413612565445028,23,40.139616055846425
1,724,0.5925414364640884,0.4,4,3,4.143646408839779,15,20.718232044198896,19,26.243093922651934
1,331,0.6102719033232629,0.3333333333333333,2,3,9.06344410876133,10,30.211480362537763,15,45.31722054380664
1,257,0.4980544747081712,0.3333333333333333,2,2,7.782101167315175,3,11.673151750972762,7,27.237354085603112
1,427,0.6978922716627635,0.4666666666666667,3,2,4.68384074941452,12,28.10304449648712,37,86.65105386416862
1,270,0.4925925925925926,0.4666666666666667,4,3,11.11111111111111,3,11.11111111111111,1,3.7037037037037033
1,412,0.5485436893203883,0.6,3,6,14.563106796116505,10,24.271844660194176,7,16.990291262135923
1,1714,0.6376896149358227,0.6666666666666666,5,5,2.9171528588098017,52,30.338389731621938,56,32.67211201866978
1,342,0.6257309941520468,0.6666666666666666,5,4,11.695906432748536,10,29.23976608187134,7,20.46783625730994
