Species	TaxaID	Genome database	Genome assembly	Genome URL	ProteomeID	Source
Hyphochytrium catenoides	42384	Genome	GitHub	https://github.com/guyleonard/hyphochytrium/raw/master/assembly/platanus/hypho_platanus_gapcloser_sorted.fasta	https://github.com/guyleonard/hyphochytrium/tree/master/gene_predictions/proteins/2016	Github
Ichthyophthirius multifiliis strain G5	857967	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/395/GCA_000220395.1_JCVI-IMG1-V.1/GCA_000220395.1_JCVI-IMG1-V.1_genomic.fna.gz	UP000008983_857967	Uniprot
Kwoniella heveanensis BCC8398	1296120	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/507/405/GCA_000507405.3_Cryp_heve_BCC8398_V1/GCA_000507405.3_Cryp_heve_BCC8398_V1_genomic.fna.gz	UP000092666_1296120	Uniprot
Leishmania major	5664	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/725/GCA_000002725.2_ASM272v2/GCA_000002725.2_ASM272v2_genomic.fna.gz	UP000000542_5664	Uniprot
Leptomonas pyrrhocoris	157538	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/293/395/GCA_001293395.1_ASM129339v1/GCA_001293395.1_ASM129339v1_genomic.fna.gz	UP000037923_157538	Uniprot
Lonchura striata domestica	299123	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/870/125/GCA_005870125.1_lonStrDom2/GCA_005870125.1_lonStrDom2_genomic.fna.gz	UP000197619_299123	Uniprot
Loxodonta africana	9785	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/905/GCA_000001905.1_Loxafr3.0/GCA_000001905.1_Loxafr3.0_genomic.fna.gz	UP000007646_9785	Uniprot
Micractinium conductrix	554055	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/245/815/GCA_002245815.2_ASM224581v2/GCA_002245815.2_ASM224581v2_genomic.fna.gz	UP000239649_554055	Uniprot
Micromonas commoda	296587	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/090/985/GCA_000090985.2_ASM9098v2/GCA_000090985.2_ASM9098v2_genomic.fna.gz	UP000002009_296587	Uniprot
Micromonas pusilla CCMP1545	564608	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/265/GCA_000151265.1_Micromonas_pusilla_CCMP1545_v2.0/GCA_000151265.1_Micromonas_pusilla_CCMP1545_v2.0_genomic.fna.gz	UP000001876_564608	Uniprot
Mitosporidium daphniae	1485682	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/760/515/GCA_000760515.2_UGP1.1/GCA_000760515.2_UGP1.1_genomic.fna.gz	UP000029725_1485682	Uniprot
Monodelphis domestica	13616	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/295/GCA_000002295.1_ASM229v1/GCA_000002295.1_ASM229v1_genomic.fna.gz	UP000002280_13616	Uniprot
Monoraphidium neglectum	145388	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/611/645/GCA_000611645.1_mono_v1/GCA_000611645.1_mono_v1_genomic.fna.gz	UP000054498_145388	Uniprot
Monosiga brevicollis	81824	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/865/GCA_000002865.1_V1.0/GCA_000002865.1_V1.0_genomic.fna.gz	UP000001357_81824	Uniprot
Musa acuminata subsp. malaccensis	214687	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/855/GCA_000313855.2_ASM31385v2/GCA_000313855.2_ASM31385v2_genomic.fna.gz	UP000012960_214687	Uniprot
Naegleria gruberi	5762	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/985/GCA_000004985.1_V1.0/GCA_000004985.1_V1.0_genomic.fna.gz	UP000006671_5762	Uniprot
Nannochloropsis gaditana	72520	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/725/GCA_000240725.1_ASM24072v1/GCA_000240725.1_ASM24072v1_genomic.fna.gz	UP000019335_72520	Uniprot
Nematostella vectensis	45351	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/209/225/GCA_000209225.1_ASM20922v1/GCA_000209225.1_ASM20922v1_genomic.fna.gz	UP000001593_45351	Uniprot
Neospora caninum Liverpool	572307	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/208/865/GCA_000208865.2_ASM20886v2/GCA_000208865.2_ASM20886v2_genomic.fna.gz	UP000007494_572307	Uniprot
Neurospora crassa OR74A	367110	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/925/GCA_000182925.2_NC12/GCA_000182925.2_NC12_genomic.fna.gz	UP000001805_367110	Uniprot
Octopus bimaculoides	37653	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/194/135/GCA_001194135.1_Octopus_bimaculoides_v2_0/GCA_001194135.1_Octopus_bimaculoides_v2_0_genomic.fna.gz	UP000053454_37653	Uniprot
Ornithorhynchus anatinus	9258	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/115/215/GCA_004115215.2_mOrnAna1.p.v1/GCA_004115215.2_mOrnAna1.p.v1_genomic.fna.gz	UP000002279_9258	Uniprot
Oryza sativa Japonica Group	39947	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/433/935/GCA_001433935.1_IRGSP-1.0/GCA_001433935.1_IRGSP-1.0_genomic.fna.gz	UP000059680_39947	Uniprot
