cluster	type	pvalue	present_median	present_average	present_consistency	absent_median	absent_average	absent_consistency	pbc
I14_OG000710	not significant	0.95401	1.0	0.7272727272727273	0.7272727272727273	1.0	0.75	0.75	-0.0255
I14_OG000711	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000715	not significant	0.58785	1	1.0	1.0	1.0	0.875	0.875	0.2345
I14_OG000717	not significant	0.39144	1	1.0	1.0	1.0	0.8125	0.8125	0.2932
I14_OG000720	not significant	0.65957	1	0.9545454545454546	1.0	1.0	0.8125	0.8125	0.2169
I14_OG000724	not significant	0.57946	1	1.0	1.0	1.0	0.875	0.875	0.2345
I14_OG000725	not significant	0.62691	1	1.0	1.0	1.0	0.90625	0.9375	0.2216
I14_OG000727	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000728	not significant	0.5401	1	0.8181818181818182	0.8181818181818181	1.0	0.59375	0.625	0.2427
I14_OG000729	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000731	not significant	0.40993	1	1.0	1.0	1.0	0.8125	0.8125	0.2932
I14_OG000732	not significant	0.84083	1.0	0.9090909090909091	0.9090909090909091	1.0	0.84375	0.875	0.0998
I14_OG000733	not significant	0.49864	1.0	0.9090909090909091	0.9090909090909091	1.0	0.6875	0.6875	0.2619
I14_OG000740	not significant	0.31648	1	0.8181818181818182	0.9090909090909091	1.0	0.5625	0.5625	0.2784
I14_OG000741	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000742	not significant	0.68047	1.0	0.9090909090909091	0.9090909090909091	1.0	0.75	0.75	0.2012
I14_OG000743	not significant	0.51906	0.0	0.4090909090909091	0.4545454545454546	0.0	0.1875	0.1875	0.2489
I14_OG000745	not significant	0.90219	1.0	0.7272727272727273	0.7272727272727273	1.0	0.65625	0.6875	0.0768
I14_OG000746	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000747	not significant	0.05634	1	0.7272727272727273	0.7272727272727273	0.0	0.3125	0.3125	0.4079
I14_OG000748	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000749	not significant	0.77767	1	1.0	1.0	1.0	0.96875	1.0	0.1626
I14_OG000750	not significant	0.96879	1	0.6363636363636364	0.6363636363636364	1.0	0.625	0.625	0.0116
I14_OG000752	not significant	0.91345	1	0.6363636363636364	0.6363636363636364	1.0	0.5625	0.5625	0.0739
I14_OG000753	not significant	0.6221	1	0.7727272727272727	0.8181818181818181	1.0	0.5625	0.5625	0.2208
I14_OG000754	not significant	0.84301	1	0.9090909090909091	0.9090909090909091	1.0	0.8125	0.8125	0.1336
I14_OG000755	not significant	0.81894	1	1.0	1.0	1.0	0.9375	0.9375	0.1626
I14_OG000757	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000758	not significant	0.44227	1	0.8636363636363636	0.9090909090909091	1.0	0.625	0.625	0.268
I14_OG000761	not significant	0.46553	0	0.22727272727272727	0.2727272727272727	0.0	0.0625	0.0625	0.2516
I14_OG000764	not significant	0.76609	1	1.0	1.0	1.0	0.96875	1.0	0.1626
I14_OG000765	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000766	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000768	not significant	0.18074	1	1.0	1.0	1.0	0.78125	0.8125	0.334
I14_OG000769	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000770	present_enriched	0.00343	1	0.7727272727272727	0.8181818181818181	0.0	0.28125	0.3125	0.5023
I14_OG000771	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000772	not significant	0.67811	1.0	0.9090909090909091	0.9090909090909091	1.0	0.75	0.75	0.2012
I14_OG000775	not significant	0.94323	1.0	0.9090909090909091	0.9090909090909091	1.0	0.875	0.875	0.0533
I14_OG000776	not significant	0.90163	0	0.18181818181818182	0.18181818181818177	0.0	0.125	0.125	0.0786
I14_OG000777	not significant	0.92665	0.0	0.4090909090909091	0.4545454545454546	0.25	0.46875	0.5	-0.0613
I14_OG000778	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000779	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
